mono_stamp,stereo_stamp,dt,mono_detection_id,stereo_cone_id,u,v,X_mono,Y_mono,X_stereo,Y_stereo,Z_stereo,stereo_color,stereo_confidence,error_x,error_y,error_2d,mono_range,stereo_range,error_range
1757267626.9217591,1757267626.9217591,0.0,12,12,565,278,8.762043952941895,1.3110042810440063,9.097691535949707,1.4075026512145996,1.523633360862732,0.0,0.7944735884666443,-0.3356475830078125,-0.09649837017059326,0.3492438051341315,8.859579361245167,9.205924994071323,-0.3463456328261554
1757267626.988511,1757267626.988511,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.228898525238037,1.4420101642608643,-0.18706770241260529,3.0,0.931475818157196,-0.5549347400665283,-0.028351426124572754,0.5556585004262983,2.19102391177614,2.6546905562871053,-0.4636666445109654
1757267626.988511,1757267626.988511,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.3963088989257812,-1.3905977010726929,-0.12983718514442444,3.0,0.9390933513641357,-1.4614856243133545,-0.05918300151824951,1.4626834441338648,1.725038735901947,2.770570032556396,-1.045531296654449
1757267626.988511,1757267626.988511,0.0,2,3,308,461,0.8879134654998779,1.4138401746749878,2.5672454833984375,1.4416638612747192,-0.19329391419887543,0.0,0.912129819393158,-1.6793320178985596,-0.027823686599731445,1.6795624977580466,1.6695311802242576,2.9443410232062472,-1.2748098429819896
1757267626.988511,1757267626.988511,0.0,3,0,353,428,1.321621060371399,1.4148409366607666,2.864940643310547,1.4466429948806763,-0.017775459215044975,3.0,0.9443581700325012,-1.543319582939148,-0.03180205821990967,1.543647209044375,1.9360932578954806,3.2094642612638613,-1.2733710033683807
1757267626.988511,1757267626.988511,0.0,4,4,523,309,5.334138870239258,1.3388067483901978,5.96998929977417,1.4048123359680176,0.6904820203781128,0.0,0.9092496037483215,-0.6358504295349121,-0.06600558757781982,0.639267163501478,5.499585529522427,6.133047361524775,-0.6334618320023475
1757267626.988511,1757267626.988511,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.084469795227051,-1.429052710533142,0.7504296898841858,1.0,0.9053555130958557,-0.6064934730529785,-0.0004979372024536133,0.6064936774586538,5.661434415476438,6.250037146970603,-0.5886027314941646
1757267626.988511,1757267626.988511,0.0,6,7,876,394,1.7511073350906372,-1.3933608531951904,2.7965006828308105,-1.4135277271270752,-0.1354200839996338,1.0,0.8877679705619812,-1.0453933477401733,0.020166873931884766,1.0455878510692402,2.2378184390662845,3.1334448621972313,-0.8956264231309468
1757267626.988511,1757267626.988511,0.0,7,6,909,412,1.3969670534133911,-1.4499597549438477,3.0563013553619385,-1.3512901067733765,0.04262363538146019,3.0,0.9042364954948425,-1.6593343019485474,-0.09866964817047119,1.6622653293301757,2.013429968804308,3.3417006041012747,-1.3282706352969669
1757267626.988511,1757267626.988511,0.0,8,8,722,276,8.946435928344727,-1.2812623977661133,9.075469017028809,-1.3390811681747437,1.546036958694458,1.0,0.877252459526062,-0.12903308868408203,0.05781877040863037,0.14139500764496635,9.03771813855172,9.173727500531617,-0.1360093619798981
1757267626.988511,1757267626.988511,0.0,9,9,672,261,12.38636302947998,-0.5598365068435669,12.530610084533691,-0.6344825625419617,2.4472506046295166,1.0,0.8391690254211426,-0.14424705505371094,0.07464605569839478,0.16241689112588065,12.399008267295544,12.54666319037804,-0.14765492308249506
1757267626.988511,1757267626.988511,0.0,12,12,565,278,8.762043952941895,1.3110042810440063,9.084648132324219,1.405484676361084,1.5214489698410034,0.0,0.7921507954597473,-0.3226041793823242,-0.09448039531707764,0.3361547287399273,8.859579361245167,9.19272641078955,-0.3331470495443831
1757267627.021736,1757267627.021736,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.2306466102600098,1.4410006999969482,-0.1872144192457199,3.0,0.9323595762252808,-0.556682825088501,-0.02734196186065674,0.5573538827593328,2.19102391177614,2.6556105356878232,-0.46458662391168337
1757267627.021736,1757267627.021736,0.0,1,1,948,442,0.9348232746124268,-1.4497807025909424,2.4058632850646973,-1.3961422443389893,-0.1303548663854599,3.0,0.9387531280517578,-1.4710400104522705,-0.053638458251953125,1.4720175938333966,1.725038735901947,2.7816166725216123,-1.0565779366196653
1757267627.021736,1757267627.021736,0.0,2,3,309,461,0.8876311182975769,1.4095432758331299,2.5674757957458496,1.4417932033538818,-0.19331125915050507,0.0,0.9129674434661865,-1.6798446774482727,-0.03224992752075195,1.6801542185693505,1.6657434522208387,2.9446051692847095,-1.2788617170638708
1757267627.021736,1757267627.021736,0.0,3,0,353,428,1.321621060371399,1.4148409366607666,2.8648605346679688,1.4466025829315186,-0.01777496188879013,3.0,0.9440703988075256,-1.5432394742965698,-0.03176164627075195,1.543566285327903,1.9360932578954806,3.2093745365790793,-1.2732812786835987
1757267627.021736,1757267627.021736,0.0,4,4,523,309,5.334138870239258,1.3388067483901978,5.962368965148926,1.4030191898345947,0.6896006464958191,0.0,0.910322368144989,-0.628230094909668,-0.06421244144439697,0.6315031985560015,5.499585529522427,6.12521889597549,-0.6256333664530622
1757267627.021736,1757267627.021736,0.0,5,5,768,305,5.477976322174072,-1.4295506477355957,6.081639766693115,-1.4283881187438965,0.7500806450843811,1.0,0.9071451425552368,-0.603663444519043,-0.0011625289916992188,0.6036645639113267,5.661434415476438,6.24713013067535,-0.585695715198912
1757267627.021736,1757267627.021736,0.0,6,7,876,394,1.7511073350906372,-1.3933608531951904,2.8052496910095215,-1.4152581691741943,-0.13584375381469727,1.0,0.882826566696167,-1.0541423559188843,0.021897315979003906,1.0543697638823393,2.2378184390662845,3.142034613800954,-0.9042161747346693
1757267627.021736,1757267627.021736,0.0,7,6,908,412,1.3973170518875122,-1.4445818662643433,3.0418238639831543,-1.3448891639709473,0.04242172837257385,3.0,0.9043468832969666,-1.644506812095642,-0.099692702293396,1.647525808574643,2.009803898850677,3.325871206595932,-1.3160673077452554
1757267627.021736,1757267627.021736,0.0,8,8,722,276,8.946435928344727,-1.2812623977661133,9.472827911376953,-1.3977112770080566,1.6137282848358154,1.0,0.8753386735916138,-0.5263919830322266,0.11644887924194336,0.5391185966717384,9.03771813855172,9.575388527492644,-0.5376703889409242
1757267627.021736,1757267627.021736,0.0,9,9,672,261,12.38636302947998,-0.5598365068435669,12.530255317687988,-0.6344645619392395,2.447181224822998,1.0,0.8435693383216858,-0.1438922882080078,0.07462805509567261,0.16209360633010522,12.399008267295544,12.546307967159297,-0.14729969986375302
1757267627.021736,1757267627.021736,0.0,12,12,565,278,8.762043952941895,1.3110042810440063,9.085521697998047,1.4056198596954346,1.5215952396392822,0.0,0.8002529144287109,-0.32347774505615234,-0.09461557865142822,0.3370310954053909,8.859579361245167,9.19361037431778,-0.33403101307261274
1757267627.0885391,1757267627.0885391,0.0,0,2,382,407,1.6739637851715088,1.4136587381362915,2.2350738048553467,1.443860650062561,-0.1875859946012497,3.0,0.9332593679428101,-0.5611100196838379,-0.03020191192626953,0.5619222452204568,2.19102391177614,2.6608811491589845,-0.4698572373828447
